concessionaria;ano;valor
CONCEPA;2010;150533000
NOVADUTRA;2010;900052000
CONCER;2010;191309000
CRT;2010;126124000
ECOSUL;2010;112442000
AUTOPISTA PLANALTO SUL;2010;77601000
AUTOPISTA LITORAL SUL;2010;130152000
AUTOPISTA REGIS BITTENCOURT;2010;204235000
AUTOPISTA FLUMINENSE;2010;112701000
TRANSBRASILIANA;2010;64261000
RODOVIA DO AÇO;2010;57299000
AUTOPISTA FERNÃO DIAS;2010;134927000
VIA BAHIA;2010;9065000
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2010;
MGO;2010;
CONCEBRA;2010;
CRO;2010;
MSVIA;2010;
CCR PONTE;2010;119077000
VIA 040;2010;
VIA SUL;2010;
ECOVIAS DO CERRADO;2010;
CATARINENSE HOLDING;2010;
CONCEPA;2011;172581000
NOVADUTRA;2011;993056000
CONCER;2011;217030000
CRT;2011;135229000
ECOSUL;2011;136163000
AUTOPISTA PLANALTO SUL;2011;86906000
AUTOPISTA LITORAL SUL;2011;156653000
AUTOPISTA REGIS BITTENCOURT;2011;244472000
AUTOPISTA FLUMINENSE;2011;130147000
TRANSBRASILIANA;2011;73931000
RODOVIA DO AÇO;2011;63591000
AUTOPISTA FERNÃO DIAS;2011;199693000
VIA BAHIA;2011;168276000
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2011;
MGO;2011;
CONCEBRA;2011;
CRO;2011;
MSVIA;2011;
CCR PONTE;2011;131974000
VIA 040;2011;
VIA SUL;2011;
ECOVIAS DO CERRADO;2011;
CATARINENSE HOLDING;2011;
CONCEPA;2012;199499000
NOVADUTRA;2012;1050626000
CONCER;2012;236555000
CRT;2012;162210000
ECOSUL;2012;147602000
AUTOPISTA PLANALTO SUL;2012;92494000
AUTOPISTA LITORAL SUL;2012;174051000
AUTOPISTA REGIS BITTENCOURT;2012;262973000
AUTOPISTA FLUMINENSE;2012;150238000
TRANSBRASILIANA;2012;85456000
RODOVIA DO AÇO;2012;71239000
AUTOPISTA FERNÃO DIAS;2012;224989000
VIA BAHIA;2012;209910000
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2012;
MGO;2012;
CONCEBRA;2012;
CRO;2012;
MSVIA;2012;
CCR PONTE;2012;143798000
VIA 040;2012;
VIA SUL;2012;
ECOVIAS DO CERRADO;2012;
CATARINENSE HOLDING;2012;
CONCEPA;2013;229309000
NOVADUTRA;2013;1113905000
CONCER;2013;244150000
CRT;2013;173821000
ECOSUL;2013;187590000
AUTOPISTA PLANALTO SUL;2013;103544000
AUTOPISTA LITORAL SUL;2013;196335000
AUTOPISTA REGIS BITTENCOURT;2013;270240000
AUTOPISTA FLUMINENSE;2013;158958000
TRANSBRASILIANA;2013;90316000
RODOVIA DO AÇO;2013;79966000
AUTOPISTA FERNÃO DIAS;2013;231870000
VIA BAHIA;2013;226509000
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2013;
MGO;2013;
CONCEBRA;2013;
CRO;2013;
MSVIA;2013;
